Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
TCGA-AB-2992	0	1	0	0	5	2	0	8
TCGA-AB-2818	0	0	0	0	5	0	2	7
TCGA-AB-2833	0	0	0	0	6	1	0	7
TCGA-AB-2876	0	0	0	0	5	2	0	7
TCGA-AB-2881	0	0	0	0	6	1	0	7
TCGA-AB-2888	1	0	0	1	4	1	0	7
TCGA-AB-2987	0	1	0	0	6	0	0	7
TCGA-AB-2991	0	0	0	0	6	1	0	7
TCGA-AB-2804	0	0	0	0	5	1	0	6
TCGA-AB-2812	0	1	0	1	4	0	0	6
TCGA-AB-2845	2	0	0	1	2	1	0	6
TCGA-AB-2850	1	0	1	0	3	0	1	6
TCGA-AB-2851	1	0	0	0	4	1	0	6
TCGA-AB-2853	0	0	0	1	5	0	0	6
TCGA-AB-2890	0	0	0	0	5	1	0	6
TCGA-AB-2901	0	0	0	0	6	0	0	6
TCGA-AB-2930	0	1	0	1	3	0	1	6
TCGA-AB-2974	0	1	0	0	5	0	0	6
TCGA-AB-2979	1	1	1	0	3	0	0	6
TCGA-AB-2994	0	0	0	1	5	0	0	6
TCGA-AB-3007	0	0	0	1	4	0	1	6
TCGA-AB-2816	0	0	0	0	5	0	0	5
TCGA-AB-2824	0	1	0	0	4	0	0	5
TCGA-AB-2847	0	0	0	0	4	0	1	5
TCGA-AB-2862	0	0	0	0	5	0	0	5
TCGA-AB-2879	1	1	0	1	1	1	0	5
TCGA-AB-2884	0	1	0	0	4	0	0	5
TCGA-AB-2897	0	0	0	0	4	0	1	5
TCGA-AB-2932	0	1	1	0	3	0	0	5
TCGA-AB-2936	0	0	0	0	3	2	0	5
TCGA-AB-2970	1	0	0	1	2	0	1	5
TCGA-AB-2977	0	0	0	0	5	0	0	5
TCGA-AB-2995	0	0	0	0	4	0	1	5
TCGA-AB-2998	0	0	0	1	4	0	0	5
TCGA-AB-3011	0	1	0	0	4	0	0	5
TCGA-AB-2826	0	0	0	0	3	1	0	4
TCGA-AB-2855	0	1	0	0	3	0	0	4
TCGA-AB-2980	0	0	0	1	3	0	0	4
TCGA-AB-2981	0	1	0	1	2	0	0	4
TCGA-AB-2809	0	0	0	0	2	1	0	3
TCGA-AB-2825	0	1	0	0	1	0	1	3
TCGA-AB-2835	0	1	0	0	1	1	0	3
TCGA-AB-2836	0	0	0	1	2	0	0	3
TCGA-AB-2894	0	0	0	0	3	0	0	3
TCGA-AB-2896	0	2	0	0	1	0	0	3
TCGA-AB-2940	1	0	0	1	0	1	0	3
TCGA-AB-2941	0	0	0	0	3	0	0	3
TCGA-AB-2947	0	1	0	0	2	0	0	3
TCGA-AB-2956	0	0	0	0	3	0	0	3
TCGA-AB-2985	0	0	0	0	3	0	0	3
TCGA-AB-3000	0	0	0	1	1	1	0	3
TCGA-AB-3008	0	0	0	1	2	0	0	3
TCGA-AB-2831	0	0	0	0	1	0	1	2
TCGA-AB-2841	0	0	0	0	2	0	0	2
TCGA-AB-2873	1	0	0	0	1	0	0	2
TCGA-AB-2880	0	1	0	1	0	0	0	2
TCGA-AB-2889	0	0	0	0	2	0	0	2
TCGA-AB-2892	0	1	0	0	1	0	0	2
