Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT4G12520	-9.33967918851608	0.567120182275993	-14.1186164767893	4.27699148150048e-12	9.01589804300302e-08	6.4257772047523
AT3G30720	5.65500002266942	3.51300638975255	11.6284913526616	1.54322918892788e-10	1.62656356512998e-06	9.54391446923664
AT5G26270	2.37224871872618	4.44170482289382	9.72835645019521	3.58704540810833e-09	2.52049724009746e-05	11.0020900672485
AT3G33528	-4.70124677838052	-1.64681490986209	-8.17536553771486	6.44109322656489e-08	0.00033944561303997	1.56894746064653
AT3G05955	-3.79959060870798	-1.69585339841508	-7.2100315346564	4.54514114990316e-07	0.00191623150879917	2.19224634151969
AT4G28100	-0.809944757847474	4.57468056142754	-7.04135798610877	6.47732342649812e-07	0.0019867768221869	6.18609294072842
AT1G64795	-4.71479031279929	-1.10510931637601	-7.03265708210057	6.5974562406586e-07	0.0019867768221869	2.33667150696128
AT3G25730	1.38721625985712	3.95389774588405	6.24220090998928	3.6509629961885e-06	0.0096202874949567	4.53222502482107
AT5G05480	-0.48694864334345	4.6067883885942	-5.64731720727667	1.39247099102276e-05	0.0300550557986401	3.26213083336868
AT2G18193	1.01001873119446	3.85712570535427	5.62678480893463	1.45935938497867e-05	0.0300550557986401	3.23531092126376
AT4G01870	1.63734001795366	5.61701759373798	5.59530537510151	1.56833782630475e-05	0.0300550557986401	3.11677859615789
AT2G14878	-0.516204012471735	6.47337223028845	-5.53182925992484	1.81403029992294e-05	0.0318664656019796	2.94274139831112
AT2G06995	-3.21159720498538	-2.35857286596512	-5.4392068770247	2.24486330995812e-05	0.0364013219799363	0.0214458307470764
AT4G15248	-1.69991887015854	2.14527788056233	-5.3922213491924	2.5019390356682e-05	0.0367368012058613	2.49861111467758
AT1G62280	-1.7550999647848	2.73489996068634	-5.37324312210361	2.61409875753283e-05	0.0367368012058613	2.67518741597517
AT3G28740	2.20325675300657	5.54134788131505	5.28487659400689	3.20769815335568e-05	0.0422614231704611	2.42959865160633
AT5G14370	0.803169254267322	3.74225203167935	5.17435172023652	4.14742958309314e-05	0.0474811475043549	2.25381820959397
AT2G25737	0.873245380155205	3.67981709157795	5.16367682363997	4.25187565641444e-05	0.0474811475043549	2.23281223160335
AT2G37760	0.770332782554467	5.4139387815099	5.14198592037034	4.47240887032031e-05	0.0474811475043549	2.08993315041016
AT2G30400	1.00872756887909	2.02539642780332	5.13888678838894	4.504852704398e-05	0.0474811475043549	2.09909628061173
AT1G70900	-0.428405988567954	4.83158227229161	-5.02100971005312	5.93369361228923e-05	0.0580603088208371	1.85729212737856
AT5G48010	2.22561621044814	5.34816526132858	5.01205669550938	6.05942501925245e-05	0.0580603088208371	1.85461423821439
AT1G60750	1.73859598649626	3.88300176462097	4.98842453704153	6.40443110807199e-05	0.058698003373112	1.84229780412781
AT1G67890	0.425646453784124	5.11174361152623	4.94602275420196	7.07415422996622e-05	0.0591596418107738	1.67190258092566
