Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT4G30650	1.30980742613565	3.95757430596134	8.37528988359975	4.36477856536567e-08	3.52123504299519e-05	8.78000962024148
AT5G23010	2.80177772582198	5.76916490521909	8.36986128458202	4.41083538955374e-08	3.52123504299519e-05	8.8073067970448
AT4G38130	0.621709882462474	7.1245025301824	8.35835567806219	4.51012078562003e-08	3.52123504299519e-05	8.77295048517503
AT5G64170	-2.86718457519113	5.41520124127672	-8.33394210924581	4.72852989456639e-08	3.55990750633784e-05	8.73771725946536
AT2G03090	2.99853117656446	5.62589068290721	8.20452487845247	6.08370628530758e-08	4.42222512049255e-05	8.49463289190612
AT5G12280	2.60423925312781	0.834230751232076	8.14536012588186	6.83158269024865e-08	4.80032543701472e-05	6.95164865607728
AT3G22830	2.50271544433011	1.7263873642575	8.10371209736407	7.41459491126073e-08	5.04192453965729e-05	7.636792492167
AT5G66170	-1.34646711351682	5.95248357809343	-7.93138053229147	1.04308205611281e-07	6.69697042982509e-05	7.96072436354332
AT3G16060	0.538957388334991	6.33691221421919	7.92883406616126	1.04838721150013e-07	6.69697042982509e-05	7.94328135900109
AT1G50240	1.28162484866233	4.56941508106792	7.91126034390999	1.08576795520817e-07	6.73176132229063e-05	7.93178941188258
AT3G45980	0.532696366416896	7.22428307096748	7.89496110703483	1.12166948103754e-07	6.75565504579179e-05	7.87337047609414
AT5G10100	1.69663342883177	4.13255592989409	7.84183067528953	1.24745405530452e-07	7.21490808494289e-05	7.77411959069255
AT4G11960	-1.00106043739634	4.24570277430481	-7.82962696463668	1.27835156103726e-07	7.21490808494289e-05	7.76806387848068
AT5G64180	-1.0998944427773	4.09764044889386	-7.81700016560817	1.31115354969227e-07	7.21490808494289e-05	7.73683482610995
AT4G13430	1.31641599468218	8.67152327271362	7.80808866361454	1.33482644835281e-07	7.21490808494289e-05	7.70496820000667
AT3G20810	2.41667210329988	1.40755796270656	7.7143932004386	1.61217277163829e-07	8.49615050653378e-05	6.51925711348071
AT5G54930	1.06118257387585	2.46705351789611	7.59099324527032	2.07096081966728e-07	0.000105937506383726	7.10004948937926
